p_val	avg_log2FC	pct.1	pct.2	p_val_adj	GeneName
0	0.4538199557263618	0.185	0.023	0	FAM43B
0	0.8565042749918863	0.349	0.044	0	CDA
0	1.2067566230940896	0.565	0.091	0	FNDC5
0	1.2940541146783842	0.741	0.193	0	NEGR1
0	0.627034207846403	0.281	0.054	0	MCOLN3
0	0.8471828950744891	0.716	0.316	0	TGFBR3
0	0.6652674124365405	0.335	0.069	0	PHGDH
0	1.0145616802866184	0.678	0.222	0	RP11-14N7.2
0	0.7796758225340158	0.521	0.162	0	ECM1
0	0.9548079869220488	0.498	0.102	0	ADAMTSL4
0	1.2670814418998404	0.996	0.915	0	S100A10
0	1.0981885926694792	1	0.981	0	S100A6
0	0.9213697353495247	0.997	0.88	0	S100A4
0	0.6104610039147197	0.313	0.062	0	NPR1
0	0.7150651722749528	0.276	0.043	0	CADM3
0	1.5703509174918757	0.554	0.041	0	LINC01133
0	1.0331328233168817	0.663	0.247	0	DDR2
0	0.8453419716570039	0.808	0.368	0	LAMC1
0	2.239539868723795	0.39	0.038	0	PRG4
0	0.9489605934961931	0.647	0.206	0	PRELP
0	2.1819364272785675	0.825	0.285	0	CD55
0	0.7791385772520041	0.713	0.299	0	CD34
0	0.7397929877880172	0.287	0.026	0	VASH2
0	0.8600431984055397	0.629	0.22	0	NID1
0	0.9737035699302197	0.657	0.238	0	ADI1
0	0.7141320550671288	0.465	0.142	0	ASAP2
0	0.5145542634592711	0.239	0.042	0	CYS1
0	0.6831435039779411	0.322	0.063	0	OSR1
0	1.3267707279977248	0.831	0.265	0	EFEMP1
0	0.8705413380933074	0.633	0.223	0	ANXA4
0	1.127146457211465	0.457	0.053	0	DPP4
0	1.4401617793810502	0.936	0.498	0	COL3A1
0	1.490580487828037	0.97	0.487	0	FN1
0	0.8868125648983856	0.618	0.189	0	EFHD1
0	0.694509010798027	0.415	0.115	0	AGAP1
0	1.6999475331159952	0.895	0.267	0	ACKR3
0	0.9068811163788233	0.931	0.423	0	COL6A3
0	0.5005096772551945	0.2	0.027	0	CNTN4
0	1.2716315237813505	0.986	0.462	0	FBLN2
0	0.902787693359498	0.803	0.378	0	TGFBR2
0	1.1767077363540168	0.501	0.062	0	CLEC3B
0	0.5338438267017762	0.272	0.053	0	IL17RD
0	0.8248799283696984	0.853	0.453	0	ARL6IP5
0	0.6379125648469127	0.35	0.086	0	ROBO1
0	0.8266395873458237	0.435	0.09	0	DCBLD2
0	1.2175688991172962	0.947	0.485	0	CCDC80
0	2.1970828833095744	0.963	0.403	0	FSTL1
0	0.47453231786396177	0.188	0.021	0	ACKR4
0	2.831297980485169	0.885	0.161	0	PCOLCE2
0	1.6830477543535158	0.545	0.116	0	CPB1
0	0.5110622047685163	0.185	0.021	0	KCNAB1
0	1.1249890638516018	0.439	0.062	0	CLDN11
0	1.1059421171825874	0.674	0.194	0	FAM114A1
0	1.1031197242263904	0.716	0.245	0	SMIM14
0	0.8160627424729409	0.541	0.174	0	LIMCH1
0	0.87069726922429	0.77	0.277	0	PDGFRA
0	0.6678817846653483	0.389	0.1	0	PCDH18
0	0.8649248471706508	0.589	0.187	0	SH3D19
0	0.9458162981047122	0.782	0.286	0	CPE
0	1.300491717434277	0.626	0.147	0	TRIO
0	0.8527690177622007	0.524	0.11	0	BASP1
0	0.9854611965723754	0.472	0.113	0	C1QTNF3
0	0.6984611099243379	0.436	0.124	0	GPX8
0	1.1966500628323171	0.888	0.311	0	VCAN
0	1.1637432872043656	0.773	0.278	0	PPIC
0	0.4278603657848085	0.163	0.013	0	PRDM6
0	1.1073732737746118	0.691	0.22	0	DPYSL3
0	1.3954244754512444	0.698	0.143	0	DBN1
0	0.8000288084638412	0.515	0.155	0	GFPT2
0	0.6199618440621162	0.308	0.056	0	LRRC16A
0	1.594638344705384	0.972	0.389	0	TNXB
0	1.6640902071936159	0.737	0.203	0	PI16
0	0.9542970669863884	0.902	0.486	0	DST
0	0.6274723368610008	0.321	0.072	0	BAG2
0	0.5444142028112299	0.265	0.051	0	RAB23
0	1.5006180718074305	0.789	0.235	0	COL12A1
0	1.0701057817465511	0.521	0.098	0	NT5E
0	0.9459004027621796	0.688	0.247	0	LAMA4
0	1.9389156548093451	0.946	0.461	0	MARCKS
0	1.8736610689127686	0.686	0.125	0	ENPP1
0	0.8552432749624791	0.336	0.033	0	NHSL1
0	0.9956419655112232	0.57	0.155	0	RAB32
0	0.8531302423204079	0.864	0.474	0	AKAP12
0	1.2983777295398073	0.561	0.118	0	FNDC1
0	0.7715469411952842	0.803	0.339	0	SMOC2
0	0.6252179997977387	0.249	0.027	0	SDK1
0	0.9840307405129187	0.754	0.28	0	GPNMB
0	1.4903688975220797	0.759	0.249	0	CREB5
0	0.6125089276146898	0.297	0.053	0	SCRN1
0	0.5403207973189995	0.213	0.016	0	PDE1C
0	2.502450341256549	0.785	0.123	0	SEMA3C
0	0.6722533833332822	0.229	0.012	0	SEMA3E
0	1.0391119613477153	0.994	0.623	0	COL1A2
0	1.078362416430605	0.399	0.056	0	LRRC17
0	1.0508773575509394	0.497	0.081	0	DOCK4
0	1.035661945011518	0.722	0.271	0	CALU
0	0.633588030709552	0.349	0.079	0	DENND2A
0	0.6429983356859084	0.377	0.098	0	ANOS1
0	0.864198040410258	0.411	0.078	0	FIGF
0	0.6768117033937128	0.23	0.009	0	ADGRG2
0	1.0332949920227232	0.885	0.486	0	ITM2A
0	0.612067191484437	0.325	0.072	0	SRPX2
0	0.6125982576610018	0.194	0.014	0	TMEM35
0	0.6606318978795209	0.358	0.085	0	MORC4
0	0.737648976235323	0.471	0.146	0	CHRDL1
0	0.5781405496031692	0.238	0.035	0	PAK3
0	0.9733984072100252	0.839	0.311	0	PDGFRL
0	0.7310369400626693	0.401	0.096	0	PSD3
0	0.5816596694764867	0.242	0.026	0	SH2D4A
0	0.912428440781732	0.595	0.177	0	EBF2
0	1.6616885185082106	0.863	0.236	0	SCARA5
0	0.5770606280951945	0.203	0.007	0	PXDNL
0	0.6583930563060703	0.355	0.086	0	SULF1
0	1.4840666263963544	0.912	0.366	0	SDC2
0	1.3459221267543633	0.711	0.213	0	COL14A1
0	0.7701006976848037	0.467	0.125	0	RECK
0	0.9822096521406724	0.628	0.203	0	GLIPR2
0	1.0881734455522842	0.78	0.277	0	GAS1
0	0.8741388009588944	0.6	0.225	0	OGN
0	0.6188009436837276	0.261	0.032	0	GALNT12
0	0.7975153946540345	0.998	0.867	0	GSN
0	0.5156568406938508	0.234	0.039	0	PTGS1
0	0.8523531488222875	0.388	0.079	0	OLFML2A
0	0.711653912455574	0.354	0.062	0	DNM1
0	0.9085004411335866	0.966	0.669	0	CD81
0	0.7078305708273391	0.32	0.063	0	RRAS2
0	0.8022824100824895	0.343	0.042	0	PAMR1
0	0.7095407765244928	0.31	0.053	0	FAM180B
0	0.9548230882278381	0.973	0.733	0	AHNAK
0	0.9586713207345772	0.617	0.184	0	LRRN4CL
