p_val	avg_log2FC	pct.1	pct.2	p_val_adj	GeneName
0	0.8394502620528639	0.631	0.281	0	MXRA8
0	1.0274217362899138	0.831	0.436	0	HSPG2
0	0.7079074690028069	0.34	0.096	0	MAN1C1
0	0.7274523659452222	0.389	0.118	0	SPATA6
0	0.9881877114279813	0.587	0.19	0	PODN
0	0.9049395427932038	0.272	0.043	0	SLC1A7
0	1.2876761190414805	0.876	0.472	0	PLPP3
0	0.9763021456009575	0.58	0.198	0	NEGR1
0	0.9373204066972294	0.678	0.305	0	TGFBR3
0	0.7902389470761688	0.52	0.211	0	OLFML3
0	0.7428807646216171	0.954	0.706	0	TXNIP
0	1.42231523449655	0.917	0.366	0	DPT
0	0.7716773575552567	0.661	0.302	0	PRRX1
0	1.848926735758208	0.724	0.203	0	FMO2
0	2.1458078811564687	0.769	0.171	0	MYOC
0	1.1831394289340214	0.648	0.21	0	ANGPTL1
0	1.4212371592536228	0.827	0.344	0	LAMC1
0	0.7548130699450522	0.313	0.073	0	COLGALT2
0	0.9269699113309737	0.617	0.249	0	FAM129A
0	0.9016546515585226	0.689	0.309	0	CFH
0	0.6391417810683206	0.292	0.074	0	HSD11B1
0	1.0531071800449838	0.721	0.259	0	EFEMP1
0	0.9085661651844326	0.58	0.248	0	PCYOX1
0	0.9151038309681166	0.482	0.154	0	FAP
0	1.2164961318346665	0.534	0.133	0	SCN7A
0	0.85720669712620845	0.739	0.362	0	TFPI
0	0.9401695144163459	0.501	0.138	0	PID1
0	1.4889200558942628	0.798	0.256	0	ACKR3
0	1.5963622802679547	0.956	0.395	0	COL6A3
0	1.4359396307289223	0.976	0.44	0	FBLN2
0	0.8731208601194096	0.376	0.082	0	WNT5A
0	1.058651777065204	0.475	0.131	0	COL8A1
0	1.0186695090471511	0.854	0.481	0	CCDC80
0	1.1621176002676168	0.572	0.15	0	BOC
0	0.6803523986986529	0.496	0.183	0	AGTR1
0	1.2815272275098586	0.483	0.108	0	CPB1
0	1.3357541335277965	0.559	0.13	0	MME
0	0.8588970722941809	0.356	0.065	0	BCHE
0	0.6241267768326266	0.574	0.24	0	TNFSF10
0	1.3191036332557902	0.966	0.443	0	APOD
0	0.8328887430671654	0.551	0.225	0	SPON2
0	1.519520706270305	0.809	0.247	0	PDGFRA
0	0.8635903644796377	0.488	0.181	0	CCNG2
0	0.9803567646790172	0.471	0.125	0	FAM13A
0	2.714438786966011	0.862	0.199	0	ADH1B
0	1.039905785047641	0.313	0.072	0	ADH1C
0	1.024844717159292	0.778	0.376	0	SPRY1
0	0.7689967821050268	0.358	0.092	0	PCDH18
0	0.8628611335107124	0.904	0.544	0	SEPP1
0	0.8059736569955636	0.383	0.112	0	FST
0	1.065583028320611	0.745	0.325	0	PIK3R1
0	0.8132054276111456	0.351	0.076	0	CDO1
0	1.4818235617089082	0.834	0.383	0	CXCL14
0	0.8005200308532476	0.721	0.401	0	NR3C1
