Fibroblasts	Endothelials	Mature.sk.mu	MuSC/Progenitors	Macrophages
CD44	0.0227067506275011	0.00311197495285121	0.00618824261740595	0.0134140718759795	0.0231847041324363
EGFR	0.0103753016263876	0.00416246282618084	0.00402635558880646	0.00502440716145536	0.00531081230928039
IGF2R	0.00216134675677018	0.00152394506284769	0.00172758304050101	0.00307705057399358	0.0021365648137319
ITGA2	0.00351200663801079	0.00332722245723578	0.00268701900579366	0.0030797860065636	0.00249213717086727
ITGA3	0.00088418641277775	0.000448215925116935	0.00224782976203821	0.000679413246888954	0.000568661717089371
ITGA4	0.00132083154111483	0.00139112217584118	0.000751868728094699	0.000763139926504071	0.00340877958448091
ITGA5	0.00257882951406966	0.00510104944849096	0.00306902046113792	0.00223008634874801	0.00179733517289628
ITGA8	0.00306263101113729	0.000677899484642921	0.00147285124502454	0.00126114469505231	0.000809209209609272
ITGAV	0.00306492572215961	0.00115491901314915	0.00144601823820602	0.00245809150837858	0.00233769881736105
ITGB1	0.0217379201773679	0.0271267743764099	0.0155112702842442	0.0190382950484348	0.0179681450628918
ITGB5	0.0166783203309452	0.00715197093606776	0.00659187510896813	0.00940839442571794	0.00818054890055311
ITGB6	0.000159645893235402	0.000243532901464188	0.00370391624982206	0.000678991444617854	0.000155273744917485
ITGB8	0.000491814958318115	0.000316641912858905	0.000462741686014089	0.00108317257543672	0.000873146289337795
RPSA	0.0294256864237489	0.0255892955671587	0.0205723441001537	0.0361616143230713	0.027103399310909
