geneName	cluster
Cxcl14	6
Smoc2	4
Ccl11	4
Gsn	4
Dcn	2
Hsd11b1	4
Crispld2	6
Col4a1	6
Lum	2
Dpep1	4
Apod	2
Rarres2	4
Htra3	2
Itih5	2
Col15a1	2
Col4a2	6
Clec3b	2
Myoc	4
Hspg2	2
Abca8a	2
Serping1	2
Col5a3	2
Egr1	2
Lama2	2
Fos	2
Tnxb	2
Plxdc2	2
Serpinf1	2
Gstm1	4
Ier2	2
Jund	2
Col6a2	3
Lamc1	4
Enpp2	4
Col6a1	3
Adamts5	6
Cyb5a	6
Pcolce	3
Plpp3	4
Vwa1	4
Rnase4	2
Podn	4
F3	6
Nid1	2
Sdc2	2
Abca8b	4
Angptl1	3
Fbln2	1
Cd34	2
G0s2	4
Pi16	4
Igfbp5	2
Igfbp6	2
Fbn1	5
Ugdh	1
Cd55	4
Pcolce2	4
Ly6c1	4
Mfap5	2
Efemp1	4
Sema3c	2
Has1	1
Fstl1	3
Pcsk6	4
Gfpt2	1
Ackr3	4
Cd248	2
Anxa3	6
Ly6a	4
C3	4
Uap1	1
Dpt	2
Klf4	6
Pla1a	4
Procr	6
Lrrn4cl	4
Tnfaip6	1
Timp3	4
Tmem100	4
Scara5	2
Mt2	1
Fndc1	2
Efhd1	4
Col14a1	3
Ebf1	2
Fn1	3
Ecm1	4
Ace	4
Dpp4	4
Dlk1	3
Itm2a	3
Meg3	3
Igf2	3
Cdkn1c	3
Col3a1	3
H19	3
Mfap4	3
Mest	3
Plagl1	3
Col1a1	3
Postn	5
Peg3	3
Mfap2	3
Col6a3	3
Col1a2	3
Cilp	3
Col5a2	3
Aspn	3
Mgp	3
Sparc	3
Igfbp4	3
Gnas	3
Islr	2
Nrep	3
Col5a1	3
Bgn	5
Ptn	5
Maged2	3
Lamb1	3
Dnajb1	3
Serpinh1	5
Fbln7	2
Igfbp7	3
Eln	2
Swt1	3
Kcnq1ot1	1
Ccdc80	5
Nrk	3
Sparcl1	2
Lpl	2
Mmp2	2
Hspa1b	2
Zbtb20	2
Cygb	2
Ltbp4	2
Gas1	3
Nfib	2
Entpd2	2
Nfia	2
Ogn	2
Pdgfra	6
Hmcn2	2
Csrp2	5
Sfrp2	5
Cthrc1	5
Tnc	1
Col8a1	5
Lox	5
Acta2	5
Col12a1	5
Thbs2	5
Serpine1	1
Sfrp1	5
Timp1	1
Maged1	5
Tm4sf1	1
Dpysl3	5
1500015O10Rik	5
Prrx1	5
Rcn1	5
Angptl4	1
Loxl1	5
Cxcl12	5
Col16a1	5
Mxra8	3
Grb10	3
Tagln	5
Fkbp10	5
Efemp2	5
Rbp1	3
Srpx2	5
Dclk1	5
Ptx3	1
Fkbp9	3
Ctgf	1
Wisp1	5
Emilin1	5
C1qtnf6	3
Fkbp11	5
Lrrc15	5
Mmp23	5
Kdelr3	5
Cxcl5	1
Prg4	1
Cxcl1	1
Mmp3	1
Ccl2	1
Pdpn	1
Ccl7	1
Il33	1
Fst	1
Mt1	1
Il1rl1	1
Thbd	1
Ncl	1
Rdh10	1
Cald1	1
Aldh1a2	1
Inhba	1
Il6	1
Adamts1	1
Npm1	1
Ran	1
Srm	1
Nop58	1
Plau	1
Sod3	1
Il1r1	1
Eif5a	1
Tnfrsf12a	1
Csf1	1
Ybx3	1
Csgalnact1	1
Gnl3	1
Eef1g	1
