EntrezID	Prediction	Score	GeneSymbol
27248	Signal-peptide	0.5007	ERLEC1
10513	Intracellular	0.5023	APPBP2
10928	Intracellular	0.5866	RALBP1
5898	Intracellular	0.8573	RALA
83641	Intracellular	0.9246	FAM107B
55173	UPS	0.5549	MRPS10
57120	Intracellular	0.5402	GOPC
224	Intracellular	0.5623	ALDH3A2
51564	Intracellular	0.5895	HDAC7
79763	UPS	0.5381	ISOC2
6591	UPS	0.617	SNAI2
5010	Transmembrane	0.4748	CLDN11
11215	Intracellular	0.5024	AKAP11
55365	Transmembrane	0.6964	TMEM176A
50865	UPS	0.5737	HEBP1
9697	Transmembrane	0.9453	TRAM2
1634	Signal-peptide	0.9114	DCN
4257	Transmembrane	0.6344	MGST1
2519	Signal-peptide	0.9967	FUCA2
140689	Signal-peptide	0.9493	CBLN4
8974	Signal-peptide	0.7992	P4HA2
9741	Transmembrane	0.8508	LAPTM4A
23468	UPS	0.5784	CBX5
6634	Intracellular	0.9345	SNRPD3
5434	UPS	0.54990000000000006	POLR2E
25776	Intracellular	0.9345	CBY1
3956	UPS	0.598	LGALS1
113791	Signal-peptide	0.8159	PIK3IP1
1312	Transmembrane	0.8973	COMT
7049	Signal-peptide	0.7388	TGFBR3
5744	Intracellular	0.9345	PTHLH
8425	Intracellular	0.8761	LTBP4
11015	Transmembrane	0.6416	KDELR3
2802	Intracellular	0.734	GOLGA3
54187	UPS	0.5345	"NANS"
2191	Transmembrane	0.8608	FAP
29058	Transmembrane	0.9984	TMEM230
151887	Signal-peptide	0.9041	CCDC80
5476	Signal-peptide	1	CTSA
2734	Signal-peptide	0.9959	GLG1
10544	Signal-peptide	0.9622	PROCR
23232	Intracellular	0.8794	TBC1D12
4350	Intracellular	0.9326	MPG
4669	Signal-peptide	0.8679	"NAGLU"
51258	Intracellular	0.9345	MRPL51
22902	Intracellular	0.5209	RUFY3
4256	Signal-peptide	0.922	MGP
10916	Intracellular	0.7329	MAGED2
3131	UPS	0.5493	HLF
56994	Transmembrane	0.6212	CHPT1
4140	Intracellular	0.8796	MARK3
5742	Signal-peptide	0.9999	PTGS1
54793	Intracellular	0.5727	KCTD9
9761	Signal-peptide	0.9346	MLEC
10951	UPS	0.6181	CBX1
7165	Intracellular	0.6313	TPD52L2
4313	Signal-peptide	0.8001	MMP2
6603	Intracellular	0.9336	SMARCD2
7431	Intracellular	0.9188	VIM
10857	Transmembrane	0.8608	PGRMC1
54602	UPS	0.5594	NDFIP2
51635	Signal-peptide	0.6123	DHRS7
79073	Signal-peptide	0.5055	TMEM109
4967	Intracellular	0.6258	OGDH
7076	Signal-peptide	0.9998	TIMP1
5786	Signal-peptide	0.9982	PTPRA
56913	Transmembrane	0.8204	C1GALT1
1277	Signal-peptide	0.9837	COL1A1
10404	Signal-peptide	0.5426	CPQ
1522	Signal-peptide	0.9524	CTSZ
23064	Intracellular	0.6665	SETX
165	Signal-peptide	0.9959	AEBP1
57149	Intracellular	0.9345	LYRM1
5372	Intracellular	0.7914	PMM1
5829	Intracellular	0.5012	PXN
6422	Signal-peptide	0.9808	SFRP1
55033	Signal-peptide	0.9228	FKBP14
1628	Intracellular	0.9343	DBP
1432	Intracellular	0.5364	MAPK14
29767	UPS	0.5129	TMOD2
3910	Signal-peptide	0.9877	LAMA4
10342	Intracellular	0.6966	TFG
667	Intracellular	0.6614	DST
4015	Signal-peptide	0.9881	LOX
29915	UPS	0.5039	HCFC2
1432	Intracellular	0.5383	MAPK14
4035	Signal-peptide	0.9707	LRP1
145258	Intracellular	0.8733	GSC
813	Signal-peptide	0.8116	CALU
51554	Transmembrane	0.9722	ACKR4
6237	UPS	0.5495	RRAS
140710	Intracellular	0.8796	SOGA1
79365	Intracellular	0.6772	BHLHE41
10274	Intracellular	0.569	STAG1
119587	Signal-peptide	0.9798	CPXM2
9805	Intracellular	0.5455	SCRN1
3910	Signal-peptide	0.9877	LAMA4
51522	Transmembrane	0.5128	TMEM14C
84918	Signal-peptide	0.834	LRP11
26268	Intracellular	0.9334	FBXO9
8655	UPS	0.618	DYNLL1
821	Signal-peptide	0.9982	CANX
826	Transmembrane	0.4256	CAPNS1
7035	Signal-peptide	0.9053	TFPI
25940	Intracellular	0.6827	FAM98A
51421	Intracellular	0.8796	AMOTL2
6185	Signal-peptide	0.8277	RPN2
81790	Transmembrane	0.9989	RNF170
5396	Intracellular	0.9343	PRRX1
8082	Transmembrane	0.6782	SSPN
9270	UPS	0.614	ITGB1BP1
10169	Intracellular	0.9345	SERF2
8425	Intracellular	0.8094	LTBP4
11328	Signal-peptide	0.9938	FKBP9
54985	Intracellular	0.9326	HCFC1R1
5740	Signal-peptide	0.6595	PTGIS
10765	Intracellular	0.5689	KDM5B
29927	Transmembrane	0.9812	SEC61A1
3223	Intracellular	0.9344	HOXC6
6678	Signal-peptide	0.9958	SPARC
9540	UPS	0.5991	TP53I3
9367	UPS	0.6132	RAB9A
79887	Signal-peptide	0.9978	PLBD1
970	Transmembrane	0.9797	CD70
29085	UPS	0.6118	PHPT1
2534	Intracellular	0.5436	FYN
652	Signal-peptide	0.8962	BMP4
23433	UPS	0.6133	RHOQ
29959	Intracellular	0.5026	NRBP1
9525	Intracellular	0.5615	VPS4B
54867	Intracellular	0.5399	TMEM214
4719	Intracellular	0.5864	NDUFS1
6745	Signal-peptide	0.9892	SSR1
1611	UPS	0.5945	DAP
3671	Signal-peptide	0.994	ISLR
53947	Transmembrane	0.9126	A4GALT
10234	Signal-peptide	0.9709	LRRC17
7291	Intracellular	0.9343	TWIST1
11034	UPS	0.6162	DSTN
6238	Transmembrane	0.9434	RRBP1
26003	Intracellular	0.6969	GORASP2
83543	UPS	0.5504	AIF1L
4012	UPS	0.5163	LNPEP
114899	Signal-peptide	0.9538	C1QTNF3
55856	UPS	0.5918	ACOT13
88745	Intracellular	0.9345	RRP36
5176	Signal-peptide	0.9496	SERPINF1
4053	Signal-peptide	0.7044	LTBP2
894	UPS	0.5477	CCND2
5037	UPS	0.5527	PEBP1
4969	Signal-peptide	0.9978	OGN
22818	UPS	0.597	COPZ1
80208	UPS	0.5212	SPG11
80270	Intracellular	0.5275	HSD3B7
79026	Intracellular	0.5648	AHNAK
23213	Signal-peptide	0.5456	SULF1
9475	Intracellular	0.5431	ROCK2
9097	UPS	0.5229	USP14
55011	UPS	0.5441	PIH1D1
23022	Intracellular	0.5685	PALLD
23743	Intracellular	0.5274	BHMT2
6386	UPS	0.6143	SDCBP
23197	Intracellular	0.9306	FAF2
377	UPS	0.5718	ARF3
3685	Signal-peptide	0.492	ITGAV
58508	Intracellular	0.5842	KMT2C
85004	Intracellular	0.9345	RERG
8546	Intracellular	0.5015	AP3B1
316	UPS	0.6262	AOX1
55332	Transmembrane	0.8792	DRAM1
5159	Signal-peptide	0.9511	PDGFRB
11014	Transmembrane	0.692	KDELR2
54505	Intracellular	0.5667	DHX29
3843	Intracellular	0.5184	IPO5
9194	Transmembrane	0.9422	SLC16A7
7482	Intracellular	0.9345	WNT2B
60492	Intracellular	0.9326	CCDC90B
403	UPS	0.6195	ARL3
57498	Intracellular	0.6526	KIDINS220
5157	Signal-peptide	0.9483	PDGFRL
51433	UPS	0.5001	ANAPC5
80206	Intracellular	0.8797	FHOD3
9581	UPS	0.5008	PREPL
1593	Intracellular	0.5483	CYP27A1
112399	Intracellular	0.9344	EGLN3
9201	Intracellular	0.569	DCLK1
4853	Signal-peptide	0.9996	NOTCH2
8500	Intracellular	0.8798	PPFIA1
23603	Intracellular	0.5431	CORO1C
4907	Signal-peptide	0.888	NT5E
1315	Transmembrane	0.5927	COPB1
26022	Transmembrane	0.8013	TMEM98
2660	Signal-peptide	0.863	MSTN
64066	Signal-peptide	0.9497	MMP27
4124	Transmembrane	0.6988	MAN2A1
6095	Intracellular	0.5665	RORA
7905	Transmembrane	0.742	REEP5
9945	Intracellular	0.5694	GFPT2
6302	Transmembrane	0.6845	TSPAN31
2947	UPS	0.5736	GSTM3
1295	Transmembrane	0.5117	COL8A1
10391	Transmembrane	0.572	CORO2B
63971	Intracellular	0.5848	KIF13A
3093	UPS	0.6186	UBE2K
5862	Intracellular	0.6122	RAB2A
64750	Intracellular	0.7642	SMURF2
23471	Transmembrane	0.9613	TRAM1
79603	Transmembrane	0.703	CERS4
490	Intracellular	0.6591	ATP2B1
4040	Signal-peptide	0.461	LRP6
2006	Signal-peptide	0.9369	ELN
2949	UPS	0.5729	GSTM5
9040	UPS	0.6161	UBE2M
3845	UPS	0.5491	KRAS
59342	Signal-peptide	0.9496	SCPEP1
79022	UPS	0.5402	TMEM106C
3915	Signal-peptide	0.8058	LAMC1
23239	Intracellular	0.5886	PHLPP1
10457	Signal-peptide	0.9931	GPNMB
3074	Transmembrane	0.6114	HEXB
9590	Intracellular	0.6344	AKAP12
6720	Intracellular	0.5776	SREBF1
10956	Signal-peptide	0.9964	OS9
64285	Intracellular	0.8763	RHBDF1
5156	Signal-peptide	0.697	PDGFRA
55885	UPS	0.5506	LMO3
10579	Intracellular	0.5216	TACC2
27314	UPS	0.5243	RAB30
79710	Intracellular	0.5667	MORC4
10154	Signal-peptide	0.7614	PLXNC1
57569	Intracellular	0.7161	ARHGAP20
274	UPS	0.5025	BIN1
9663	UPS	0.5212	LPIN2
51063	Transmembrane	0.8257	CALHM2
85440	Intracellular	0.5682	DOCK7
22800	Intracellular	0.9344	RRAS2
9411	Intracellular	0.5661	ARHGAP29
400	UPS	0.5667	ARL1
51495	Intracellular	0.5448	HACD3
10752	Signal-peptide	0.8631	CHL1
9253	Intracellular	0.7167	NUMBL
2054	Intracellular	0.8585	STX2
114882	UPS	0.5212	OSBPL8
2995	Transmembrane	0.6716	GYPC
324	Intracellular	0.8042	APC
967	Transmembrane	0.856	CD63
28966	UPS	0.5506	SNX24
55198	Intracellular	0.538	APPL2
57551	Intracellular	0.8746	TAOK1
283383	Signal-peptide	0.6315	ADGRD1
9910	Intracellular	0.5192	RABGAP1L
25814	Intracellular	0.5645	ATXN10
2746	Intracellular	0.5681	GLUD1
8030	Intracellular	0.7331	CCDC6
134147	UPS	0.6368	CMBL
1513	Signal-peptide	0.7701	CTSK
950	Transmembrane	0.6705	SCARB2
196463	Transmembrane	0.6818	PLBD2
1213	Intracellular	0.7158	CLTC
2697	Transmembrane	0.638	GJA1
38	Intracellular	0.6056	ACAT1
25800	Signal-peptide	0.9577	SLC39A6
9638	Intracellular	0.5168	FEZ1
83742	Transmembrane	0.9243	MARVELD1
170463	Intracellular	0.6287	SSBP4
92912	UPS	0.5251	UBE2Q2
5063	Intracellular	0.5237	PAK3
10512	Signal-peptide	0.8225	SEMA3C
493869	Transmembrane	0.9987	GPX8
51150	Signal-peptide	0.8451	SDF4
6282	UPS	0.6132	S100A11
1627	Intracellular	0.5972	DBN1
27332	Intracellular	0.5699	ZNF638
