EntrezID	Prediction	Score	GeneSymbol
6591	UPS	0.617	SNAI2
140689	Signal-peptide	0.9493	CBLN4
4653	Signal-peptide	0.8145	MYOC
224	Intracellular	0.5623	ALDH3A2
8974	Signal-peptide	0.7992	P4HA2
55365	Transmembrane	0.6964	TMEM176A
27248	Signal-peptide	0.5007	ERLEC1
126393	Intracellular	0.6133	HSPB6
5648	Signal-peptide	0.9113	MASP1
1634	Signal-peptide	0.9114	DCN
57120	Intracellular	0.5402	GOPC
259282	Intracellular	0.6329	BOD1L1
5168	Transmembrane	0.5337	ENPP2
4257	Transmembrane	0.6344	MGST1
9741	Transmembrane	0.8508	LAPTM4A
83992	Intracellular	0.6847	CTTNBP2
5166	Intracellular	0.5635	PDK4
2191	Transmembrane	0.8608	FAP
5786	Signal-peptide	0.9982	PTPRA
10916	Intracellular	0.7329	MAGED2
3320	Intracellular	0.6609	HSP90AA1
113791	Signal-peptide	0.8159	PIK3IP1
2327	Intracellular	0.5447	FMO2
4313	Signal-peptide	0.8001	MMP2
8425	Intracellular	0.8761	LTBP4
64857	Intracellular	0.6125	PLEKHG2
10404	Signal-peptide	0.5426	CPQ
6422	Signal-peptide	0.9808	SFRP1
7049	Signal-peptide	0.7388	TGFBR3
51635	Signal-peptide	0.6123	DHRS7
2734	Signal-peptide	0.9959	GLG1
151887	Signal-peptide	0.9041	CCDC80
56994	Transmembrane	0.6212	CHPT1
6185	Signal-peptide	0.8277	RPN2
5919	Signal-peptide	0.9428	RARRES2
7035	Signal-peptide	0.9053	TFPI
7431	Intracellular	0.9188	VIM
165	Signal-peptide	0.9959	AEBP1
119587	Signal-peptide	0.9798	CPXM2
51747	Intracellular	0.9343	LUC7L3
9068	Signal-peptide	0.8758	ANGPTL1
5228	Signal-peptide	0.9054	PGF
3912	Signal-peptide	0.9543	LAMB1
10765	Intracellular	0.5689	KDM5B
54793	Intracellular	0.5727	KCTD9
27145	Intracellular	0.735	FILIP1
22902	Intracellular	0.5209	RUFY3
2690	Signal-peptide	0.9741	GHR
1432	Intracellular	0.5383	MAPK14
79887	Signal-peptide	0.9978	PLBD1
4669	Signal-peptide	0.8679	"NAGLU"
604	Intracellular	0.5694	BCL6
8082	Transmembrane	0.6782	SSPN
3910	Signal-peptide	0.9877	LAMA4
9528	Signal-peptide	0.8885	TMEM59
1432	Intracellular	0.5364	MAPK14
4256	Signal-peptide	0.922	MGP
2908	Intracellular	0.5106	NR3C1
1628	Intracellular	0.9343	DBP
3131	UPS	0.5493	HLF
5396	Intracellular	0.9343	PRRX1
8743	Transmembrane	0.9055	TNFSF10
2534	Intracellular	0.5436	FYN
9525	Intracellular	0.5615	VPS4B
145258	Intracellular	0.8733	GSC
6603	Intracellular	0.9336	SMARCD2
3624	Signal-peptide	0.8323	INHBA
1958	Intracellular	0.6801	EGR1
79365	Intracellular	0.6772	BHLHE41
2799	Signal-peptide	0.679	GNS
718	Signal-peptide	0.8873	C3
667	Intracellular	0.6614	DST
85004	Intracellular	0.9345	RERG
23743	Intracellular	0.5274	BHMT2
79710	Intracellular	0.5667	MORC4
652	Signal-peptide	0.8962	BMP4
2949	UPS	0.5729	GSTM5
79022	UPS	0.5402	TMEM106C
8854	Intracellular	0.5261	ALDH1A2
9406	Intracellular	0.9345	ZRANB2
10956	Signal-peptide	0.9964	OS9
3915	Signal-peptide	0.8058	LAMC1
