EntrezID	Prediction	Score	GeneSymbol
151887	Signal-peptide	0.9041	CCDC80
4830	UPS	0.6191	NME1
2067	UPS	0.5522	ERCC1
7494	Intracellular	0.8735	XBP1
1407	Intracellular	0.6544	CRY1
3162	UPS	0.5491	HMOX1
5898	Intracellular	0.8573	RALA
4282	UPS	0.5836	MIF
8425	Intracellular	0.8761	LTBP4
9741	Transmembrane	0.8508	LAPTM4A
3956	UPS	0.598	LGALS1
4616	UPS	0.5952	GADD45B
3097	Intracellular	0.7329	HIVEP2
4257	Transmembrane	0.6344	MGST1
9052	Transmembrane	0.8797	GPRC5A
55365	Transmembrane	0.6964	TMEM176A
29995	Intracellular	0.5348	LMCD1
126393	Intracellular	0.6133	HSPB6
1634	Signal-peptide	0.9114	DCN
11015	Transmembrane	0.6416	KDELR3
7132	Signal-peptide	0.7405	TNFRSF1A
5744	Intracellular	0.9345	PTHLH
2191	Transmembrane	0.8608	FAP
928	Transmembrane	0.9925	CD9
26517	Intracellular	0.8614	TIMM13
7076	Signal-peptide	0.9998	TIMP1
165	Signal-peptide	0.9959	AEBP1
5919	Signal-peptide	0.9428	RARRES2
7431	Intracellular	0.9188	VIM
5054	Signal-peptide	0.86	SERPINE1
10567	UPS	0.5587	RABAC1
4313	Signal-peptide	0.8001	MMP2
10226	Intracellular	0.5254	PLIN3
55851	Transmembrane	0.9992	PSENEN
64841	UPS	0.6161	GNPNAT1
1311	Signal-peptide	0.9318	COMP
51655	Intracellular	0.9345	RASD1
10544	Signal-peptide	0.9622	PROCR
4792	UPS	0.5766	NFKBIA
3036	Transmembrane	0.8366	HAS1
6422	Signal-peptide	0.9808	SFRP1
10404	Signal-peptide	0.5426	CPQ
30851	UPS	0.5287	TAX1BP3
623	Transmembrane	0.993	BDKRB1
6347	Signal-peptide	0.9778	CCL2
5971	Intracellular	0.717	RELB
56942	UPS	0.5491	CMC2
10135	UPS	0.5204	"NAMPT"
5329	Signal-peptide	0.961	PLAUR
7291	Intracellular	0.9343	TWIST1
1026	Intracellular	0.9345	CDKN1A
8425	Intracellular	0.8094	LTBP4
9068	Signal-peptide	0.8758	ANGPTL1
5918	Signal-peptide	0.9613	RARRES1
79586	Transmembrane	0.5491	CHPF
4790	Intracellular	0.5823	NFKB1
10560	Transmembrane	0.7	SLC19A2
3939	UPS	0.6182	LDHA
119587	Signal-peptide	0.9798	CPXM2
81892	Intracellular	0.9345	SLIRP
2023	UPS	0.5017	ENO1
5997	UPS	0.6367	RGS2
55379	Intracellular	0.9246	LRRC59
3164	Intracellular	0.5779	NR4A1
51661	Signal-peptide	0.898	FKBP7
127544	Intracellular	0.7334	RNF19B
3624	Signal-peptide	0.8323	INHBA
5396	Intracellular	0.9343	PRRX1
1277	Signal-peptide	0.9837	COL1A1
1959	Intracellular	0.7168	EGR2
3336	UPS	0.614	HSPE1
6678	Signal-peptide	0.9958	SPARC
23516	Signal-peptide	0.7417	SLC39A14
4015	Signal-peptide	0.9881	LOX
24145	Transmembrane	0.739	PANX1
7422	Intracellular	0.9345	VEGFA
157506	Transmembrane	0.6173	RDH10
4035	Signal-peptide	0.9707	LRP1
10459	UPS	0.6154	MAD2L2
22936	Intracellular	0.5918	ELL2
114899	Signal-peptide	0.9538	C1QTNF3
4256	Signal-peptide	0.922	MGP
6484	Signal-peptide	0.5714	ST3GAL4
7130	Signal-peptide	0.9335	TNFAIP6
10577	Signal-peptide	0.9999	NPC2
11328	Signal-peptide	0.9938	FKBP9
56005	Signal-peptide	0.9673	MYDGF
3383	Signal-peptide	0.9462	ICAM1
11014	Transmembrane	0.692	KDELR2
5597	UPS	0.501	MAPK6
7905	Transmembrane	0.742	REEP5
813	Signal-peptide	0.8116	CALU
2947	UPS	0.5736	GSTM3
51665	Intracellular	0.9328	ASB1
6160	Intracellular	0.9345	RPL31
3976	Signal-peptide	0.5241	LIF
5159	Signal-peptide	0.9511	PDGFRB
3959	Signal-peptide	0.9824	LGALS3BP
10457	Signal-peptide	0.9931	GPNMB
1890	Intracellular	0.6119	TYMP
5270	Signal-peptide	0.8945	SERPINE2
23135	Intracellular	0.718	KDM6B
4969	Signal-peptide	0.9978	OGN
10468	Signal-peptide	0.9995	FST
5176	Signal-peptide	0.9496	SERPINF1
23780	UPS	0.5316	APOL2
51602	Intracellular	0.6467	NOP58
718	Signal-peptide	0.8873	C3
8553	Intracellular	0.658	BHLHE40
84662	Intracellular	0.7152	GLIS2
23034	Intracellular	0.5687	SAMD4A
5064	Intracellular	0.6329	PALM
23213	Signal-peptide	0.5456	SULF1
